Site,SiteNumber,Seconds,DateTime,Latitude,Longitude,SignificantWaveHeight,MaxWaveHeight,PeakEnergyWavePeriod,ZeroUpcrossingWavePeriod,SeaSurfaceTemperature,Direction,Current Speed,Current Direction
Tweed Heads Mk4,4225,1712698200,2024-04-10T07:30:00,-28.17749,153.57665,1.01,1.83,8,5.79,24.27,107.34,0.44,334.51
Tweed Heads Mk4,4225,1712700000,2024-04-10T08:00:00,-28.1775,153.57667,1.04,1.56,9.09,5.86,24.22,119.91,0.27,329.58
Tweed Heads Mk4,4225,1712701800,2024-04-10T08:30:00,-28.1775,153.57667,1.11,1.6,8.33,6.2,24.22,103.65,0.24,328.97
Tweed Heads Mk4,4225,1712703600,2024-04-10T09:00:00,-28.17749,153.57675,1.17,2.16,9.09,5.61,24.22,123.52,0.22,349.63
Tweed Heads Mk4,4225,1712705400,2024-04-10T09:30:00,-28.17749,153.57677,1,1.68,9.09,5.43,24.22,115.87,0.19,344.7
Tweed Heads Mk4,4225,1712707200,2024-04-10T10:00:00,-28.17745,153.57682,1.02,2.09,11.11,5.14,24.22,96.18,0.18,348.66
Tweed Heads Mk4,4225,1712709000,2024-04-10T10:30:00,-28.17749,153.57677,0.93,1.62,9.52,4.97,24.31,105.5,0.17,0.79
Tweed Heads Mk4,4225,1712710800,2024-04-10T11:00:00,-28.17747,153.57686,1.03,1.62,14.29,5.41,24.36,71.48,0.13,19.25
Tweed Heads Mk4,4225,1712712600,2024-04-10T11:30:00,-28.17747,153.57688,0.96,1.71,13.33,5.17,24.4,76.05,0.14,9.14
Tweed Heads Mk4,4225,1712714400,2024-04-10T12:00:00,-28.17745,153.57697,1.01,1.64,14.29,5,24.45,73.5,0.24,16.97
Tweed Heads Mk4,4225,1712716200,2024-04-10T12:30:00,-28.17743,153.57686,0.95,1.64,14.29,4.79,24.45,74.2,0.27,6.15
Tweed Heads Mk4,4225,1712718000,2024-04-10T13:00:00,-28.17749,153.57682,0.9,1.52,9.09,4.61,24.4,109.28,0.22,0.62
Tweed Heads Mk4,4225,1712719800,2024-04-10T13:30:00,-28.17749,153.57673,0.95,1.52,9.52,4.9,24.5,101.45,0.28,344.7
Tweed Heads Mk4,4225,1712721600,2024-04-10T14:00:00,-28.17747,153.57671,0.93,1.49,10,5.05,24.45,99.34,0.42,324.4
Tweed Heads Mk4,4225,1712723400,2024-04-10T14:30:00,-28.17752,153.57665,0.99,1.83,9.52,5.49,24.45,114.55,0.45,328.7
Tweed Heads Mk4,4225,1712725200,2024-04-10T15:00:00,-28.17749,153.57665,1.04,1.73,13.33,5.73,24.5,78.68,0.3,325.89
Tweed Heads Mk4,4225,1712727000,2024-04-10T15:30:00,-28.17749,153.57669,1.16,2.11,13.33,5.56,24.73,80.18,0.53,325.63
Tweed Heads Mk4,4225,1712728800,2024-04-10T16:00:00,-28.17745,153.57671,1.3,1.88,12.5,5.71,24.59,96.71,0.51,319.12
Tweed Heads Mk4,4225,1712730600,2024-04-10T16:30:00,-28.17749,153.57667,1.38,2.46,12.5,5.95,24.45,112.18,0.42,327.91
Tweed Heads Mk4,4225,1712732400,2024-04-10T17:00:00,-28.17752,153.57658,1.48,2.33,12.5,5.81,24.82,106.46,0.39,312
Tweed Heads Mk4,4225,1712734200,2024-04-10T17:30:00,-28.1775,153.5766,1.64,2.6,11.76,6.02,25.14,107.52,0.36,322.2
Tweed Heads Mk4,4225,1712736000,2024-04-10T18:00:00,-28.1775,153.57656,1.53,2.39,11.76,5.85,25.1,107.17,0.35,307.43
Tweed Heads Mk4,4225,1712737800,2024-04-10T18:30:00,-28.17752,153.57654,1.49,2.68,9.09,5.26,24.68,118.07,0.42,313.23
Tweed Heads Mk4,4225,1712739600,2024-04-10T19:00:00,-28.17749,153.57656,1.56,2.66,13.33,5.77,24.5,92.93,0.37,315.08
Tweed Heads Mk4,4225,1712741400,2024-04-10T19:30:00,-28.17747,153.57662,1.48,2.34,9.52,5.65,24.36,117.01,0.43,325.01
Tweed Heads Mk4,4225,1712743200,2024-04-10T20:00:00,-28.17747,153.57662,1.36,2.28,13.33,5.65,24.36,94.51,0.41,324.66
Tweed Heads Mk4,4225,1712745000,2024-04-10T20:30:00,-28.1775,153.57658,1.28,2.04,14.29,5.84,24.36,92.66,0.35,317.45
Tweed Heads Mk4,4225,1712746800,2024-04-10T21:00:00,-28.17747,153.57654,1.3,2.06,13.33,6.14,24.36,101.89,0.62,322.29
Tweed Heads Mk4,4225,1712748600,2024-04-10T21:30:00,-28.17743,153.57656,1.1,2.3,12.5,5.79,24.36,98.82,0.61,320.09
Tweed Heads Mk4,4225,1712750400,2024-04-10T22:00:00,-28.17743,153.57654,1.18,1.73,14.29,6.16,24.31,82.73,0.67,318.68
Tweed Heads Mk4,4225,1712752200,2024-04-10T22:30:00,-28.17745,153.57656,1.08,1.71,13.33,5.61,24.31,87.04,0.65,319.47
Tweed Heads Mk4,4225,1712754000,2024-04-10T23:00:00,-28.17743,153.57662,1.11,1.95,11.76,5.61,24.27,99.17,0.46,340.66
Tweed Heads Mk4,4225,1712755800,2024-04-10T23:30:00,-28.1775,153.57652,1.09,1.7,14.29,5.17,24.27,75.52,0.35,322.99
Tweed Heads Mk4,4225,1712757600,2024-04-11T00:00:00,-28.17745,153.5766,1.08,1.97,13.33,5.25,24.22,88.71,0.19,337.58
Tweed Heads Mk4,4225,1712759400,2024-04-11T00:30:00,-28.17745,153.57673,1.12,1.73,14.29,5.26,24.17,92.4,0.13,64.26
Tweed Heads Mk4,4225,1712761200,2024-04-11T01:00:00,-28.17767,153.57662,1.23,2.6,10.53,5.64,24.22,99.69,0.14,104.26
Tweed Heads Mk4,4225,1712763000,2024-04-11T01:30:00,-28.17743,153.57688,1.16,2.04,11.76,6.17,24.22,96,0.09,64.26
Tweed Heads Mk4,4225,1712764800,2024-04-11T02:00:00,-28.17779,153.57641,1.21,2.19,13.33,6.16,24.17,93.63,0.06,160.09
Tweed Heads Mk4,4225,1712766600,2024-04-11T02:30:00,-28.17788,153.57639,1.31,2.16,13.33,6.32,24.08,89.59,0.04,202.81
Tweed Heads Mk4,4225,1712768400,2024-04-11T03:00:00,-28.17743,153.5771,1.37,2.4,10.53,6.97,24.08,97.41,0.14,24.09
Tweed Heads Mk4,4225,1712770200,2024-04-11T03:30:00,-28.1774,153.57712,1.59,3.1,13.33,6.98,24.08,100.57,0.19,40.79
Tweed Heads Mk4,4225,1712772000,2024-04-11T04:00:00,-28.17758,153.57744,1.54,2.5,14.29,6.68,24.08,100.84,0.23,73.05
Tweed Heads Mk4,4225,1712773800,2024-04-11T04:30:00,-28.17812,153.57761,1.73,2.52,11.11,7.07,24.08,107.52,0.3,102.51
Tweed Heads Mk4,4225,1712775600,2024-04-11T05:00:00,-28.17813,153.57763,1.62,2.8,14.29,7.19,24.08,109.37,0.21,112.88
Tweed Heads Mk4,4225,1712777400,2024-04-11T05:30:00,-28.17846,153.57692,1.37,2.28,14.29,6.66,24.08,104.71,0.17,154.64
Tweed Heads Mk4,4225,1712779200,2024-04-11T06:00:00,-28.1783,153.57649,1.57,2.44,13.33,7.08,24.22,107.52,0.18,232.62
Tweed Heads Mk4,4225,1712781000,2024-04-11T06:30:00,-28.17825,153.57658,1.65,2.98,12.5,7.65,24.22,106.99,0.04,246.86
Tweed Heads Mk4,4225,1712782800,2024-04-11T07:00:00,-28.17771,153.57645,1.7,3.07,13.33,7.51,24.22,102.6,0.03,266.64
Tweed Heads Mk4,4225,1712784600,2024-04-11T07:30:00,-28.17741,153.57675,1.59,3.04,13.33,7.15,24.17,109.72,0.15,326.68
Tweed Heads Mk4,4225,1712786400,2024-04-11T08:00:00,-28.17738,153.57688,1.6,2.77,12.5,7.06,24.17,112.88,0.17,14.15
Tweed Heads Mk4,4225,1712788200,2024-04-11T08:30:00,-28.1774,153.57686,1.84,3.11,13.33,7.62,24.17,101.1,0.13,7.47
Tweed Heads Mk4,4225,1712790000,2024-04-11T09:00:00,-28.1774,153.57677,1.68,2.72,13.33,7.54,24.17,103.39,0.1,342.15
Tweed Heads Mk4,4225,1712791800,2024-04-11T09:30:00,-28.17749,153.57656,1.61,2.42,14.29,7,24.13,101.28,0.2,316.84
Tweed Heads Mk4,4225,1712793600,2024-04-11T10:00:00,-28.17762,153.57641,1.54,2.6,13.33,6.72,24.17,95.12,0.35,296.88
Tweed Heads Mk4,4225,1712795400,2024-04-11T10:30:00,-28.1775,153.57654,1.58,2.83,13.33,6.4,24.22,92.66,0.34,323.16
Tweed Heads Mk4,4225,1712797200,2024-04-11T11:00:00,-28.17765,153.57641,1.53,2.57,11.76,5.88,24.17,117.98,0.12,319.21
Tweed Heads Mk4,4225,1712799000,2024-04-11T11:30:00,-28.17741,153.57671,1.58,2.4,11.76,6.09,24.22,115.78,0.18,343.38
Tweed Heads Mk4,4225,1712800800,2024-04-11T12:00:00,-28.17747,153.57662,1.66,2.72,12.5,6.04,24.22,110.42,0.11,336.7
Tweed Heads Mk4,4225,1712802600,2024-04-11T12:30:00,-28.17749,153.57665,1.67,2.86,12.5,6.16,24.22,105.5,0.09,349.63
Tweed Heads Mk4,4225,1712804400,2024-04-11T13:00:00,-28.17749,153.57729,1.65,3.05,11.76,5.94,24.17,111.04,0.1,42.64
Tweed Heads Mk4,4225,1712806200,2024-04-11T13:30:00,-28.17767,153.57753,1.67,2.88,12.5,6.25,24.31,92.93,0.21,37.19
Tweed Heads Mk4,4225,1712808000,2024-04-11T14:00:00,-28.17752,153.57737,1.52,2.33,12.5,5.72,24.31,106.11,0.13,16.18
Tweed Heads Mk4,4225,1712809800,2024-04-11T14:30:00,-28.17741,153.5771,1.41,2.49,11.76,5.2,24.27,100.22,0.06,351.21
Tweed Heads Mk4,4225,1712811600,2024-04-11T15:00:00,-28.17753,153.57658,1.52,2.61,13.33,5.35,24.22,105.32,0.03,6.07
Tweed Heads Mk4,4225,1712813400,2024-04-11T15:30:00,-28.17815,153.57645,1.63,2.72,12.5,5.61,24.22,96.88,0.03,212.48
Tweed Heads Mk4,4225,1712815200,2024-04-11T16:00:00,-28.17807,153.57647,1.54,2.64,12.5,5.56,24.17,95.83,0.02,88.53
Tweed Heads Mk4,4225,1712817000,2024-04-11T16:30:00,-28.17792,153.57649,1.68,2.67,12.5,5.69,24.13,99.17,0.06,105.14
Tweed Heads Mk4,4225,1712818800,2024-04-11T17:00:00,-28.1776,153.57662,1.78,2.81,12.5,5.94,24.08,96.09,0.08,94.33
Tweed Heads Mk4,4225,1712820600,2024-04-11T17:30:00,-28.17738,153.57703,1.77,2.91,11.76,5.82,24.08,110.77,0.06,74.29
Tweed Heads Mk4,4225,1712822400,2024-04-11T18:00:00,-28.17738,153.57701,1.68,3.84,12.5,5.74,24.13,99.61,0.09,49.93
Tweed Heads Mk4,4225,1712824200,2024-04-11T18:30:00,-28.17737,153.57708,1.86,2.79,11.11,6.14,24.08,110.77,0.06,71.47
Tweed Heads Mk4,4225,1712826000,2024-04-11T19:00:00,-28.1774,153.57705,1.83,2.71,11.76,6.53,24.08,111.65,0.07,84.48
Tweed Heads Mk4,4225,1712827800,2024-04-11T19:30:00,-28.17741,153.57686,1.79,2.79,11.76,6.5,24.08,109.19,0.07,38.24
Tweed Heads Mk4,4225,1712829600,2024-04-11T20:00:00,-28.17749,153.57675,1.74,3.54,11.76,6.58,24.08,107.69,0.06,62.24
Tweed Heads Mk4,4225,1712831400,2024-04-11T20:30:00,-28.17753,153.57654,1.69,2.66,11.76,6.72,24.08,113.67,0.07,333.63
Tweed Heads Mk4,4225,1712833200,2024-04-11T21:00:00,-28.1775,153.5766,1.72,2.84,11.76,6.72,24.08,113.06,0.14,326.24
Tweed Heads Mk4,4225,1712835000,2024-04-11T21:30:00,-28.1775,153.57658,1.68,2.29,13.33,6.59,24.04,100.31,0.09,318.24
Tweed Heads Mk4,4225,1712836800,2024-04-11T22:00:00,-28.17749,153.5766,1.8,2.87,12.5,6.54,23.99,97.94,0.14,354.29
Tweed Heads Mk4,4225,1712838600,2024-04-11T22:30:00,-28.17738,153.57692,1.92,3.03,13.33,7.06,23.99,101.72,0.18,22.33
Tweed Heads Mk4,4225,1712840400,2024-04-11T23:00:00,-28.17741,153.57705,1.96,3.53,13.33,6.84,23.99,106.38,0.14,62.59
Tweed Heads Mk4,4225,1712842200,2024-04-11T23:30:00,-28.1776,153.57744,2.15,4.04,12.5,7.28,23.99,97.06,0.17,50.02
Tweed Heads Mk4,4225,1712844000,2024-04-12T00:00:00,-28.17756,153.5774,1.91,3.32,12.5,6.9,23.99,102.77,0.1,103.74
Tweed Heads Mk4,4225,1712845800,2024-04-12T00:30:00,-28.17756,153.57665,2.08,3.38,12.5,7.31,23.99,102.6,0.1,89.14
Tweed Heads Mk4,4225,1712847600,2024-04-12T01:00:00,-28.17805,153.57639,1.98,3.19,13.33,6.76,23.99,100.4,0.08,177.41
Tweed Heads Mk4,4225,1712849400,2024-04-12T01:30:00,-28.17786,153.57639,2.15,4,12.5,7.16,23.99,107.08,0.07,201.41
Tweed Heads Mk4,4225,1712851200,2024-04-12T02:00:00,-28.17756,153.57658,2.16,3.79,12.5,7.03,23.95,107.96,0.1,107.6
Tweed Heads Mk4,4225,1712853000,2024-04-12T02:30:00,-28.17756,153.57686,1.87,3.28,12.5,6.7,23.95,106.2,0.12,111.47
Tweed Heads Mk4,4225,1712854800,2024-04-12T03:00:00,-28.1777,153.57737,1.89,3.41,12.5,6.64,23.95,99.52,0.14,103.38
Tweed Heads Mk4,4225,1712856600,2024-04-12T03:30:00,-28.17812,153.57755,2.08,3.1,12.5,7.01,23.95,110.07,0.16,106.46
Tweed Heads Mk4,4225,1712858400,2024-04-12T04:00:00,-28.17831,153.57742,1.93,2.97,11.76,6.55,23.95,111.04,0.12,111.38
Tweed Heads Mk4,4225,1712860200,2024-04-12T04:30:00,-28.17825,153.57748,2.09,3.23,12.5,6.87,23.9,109.98,0.1,117.71
Tweed Heads Mk4,4225,1712862000,2024-04-12T05:00:00,-28.17816,153.57757,2.04,3.61,12.5,6.75,23.85,108.13,0.15,93.89
Tweed Heads Mk4,4225,1712863800,2024-04-12T05:30:00,-28.17803,153.57763,2.25,4,12.5,7.14,23.85,105.41,0.22,83.69
Tweed Heads Mk4,4225,1712865600,2024-04-12T06:00:00,-28.17805,153.57763,2.24,3.58,13.33,6.94,23.85,103.04,0.19,94.07
Tweed Heads Mk4,4225,1712867400,2024-04-12T06:30:00,-28.178,153.57765,2.06,3.59,12.5,7.01,23.9,110.77,0.23,99.08
Tweed Heads Mk4,4225,1712869200,2024-04-12T07:00:00,-28.17792,153.57765,2.23,3.1,12.5,7.2,23.9,101.98,0.19,76.84
Tweed Heads Mk4,4225,1712871000,2024-04-12T07:30:00,-28.17788,153.57763,1.92,3.03,13.33,7.05,23.95,103.83,0.18,89.14
Tweed Heads Mk4,4225,1712872800,2024-04-12T08:00:00,-28.178,153.57763,1.98,3.1,13.33,7.11,23.9,101.98,0.17,76.22
Tweed Heads Mk4,4225,1712874600,2024-04-12T08:30:00,-28.17819,153.57755,2.05,3.84,14.29,7.16,23.95,105.23,0.17,129.93
Tweed Heads Mk4,4225,1712876400,2024-04-12T09:00:00,-28.1785,153.57714,1.99,3.2,12.5,7.19,23.95,112.97,0.14,148.84
Tweed Heads Mk4,4225,1712878200,2024-04-12T09:30:00,-28.1785,153.57701,1.85,3.02,14.29,6.89,23.95,117.8,0.2,153.49
Tweed Heads Mk4,4225,1712880000,2024-04-12T10:00:00,-28.17846,153.57714,1.77,3.24,13.33,6.87,23.99,114.29,0.15,175.3
Tweed Heads Mk4,4225,1712881800,2024-04-12T10:30:00,-28.17846,153.57722,1.79,2.7,13.33,6.83,24.04,107.61,0.17,164.66
Tweed Heads Mk4,4225,1712883600,2024-04-12T11:00:00,-28.17846,153.5772,1.94,3.16,13.33,6.85,24.04,109.8,0.14,162.11
Tweed Heads Mk4,4225,1712885400,2024-04-12T11:30:00,-28.17846,153.57725,1.76,2.73,12.5,6.3,23.99,104.97,0.16,141.71
Tweed Heads Mk4,4225,1712887200,2024-04-12T12:00:00,-28.17846,153.57722,1.82,3.05,12.5,6.64,24.04,113.85,0.17,161.93
Tweed Heads Mk4,4225,1712889000,2024-04-12T12:30:00,-28.17845,153.5772,1.62,3.42,11.11,6.15,24.08,117.89,0.15,167.47
Tweed Heads Mk4,4225,1712890800,2024-04-12T13:00:00,-28.17846,153.57718,1.54,2.44,11.76,5.92,24.08,119.83,0.12,157.54
Tweed Heads Mk4,4225,1712892600,2024-04-12T13:30:00,-28.17848,153.5772,1.7,2.8,13.33,6.22,24.08,107.43,0.15,165.1
Tweed Heads Mk4,4225,1712894400,2024-04-12T14:00:00,-28.17846,153.57722,1.68,2.89,13.33,6.22,24.08,108.05,0.16,158.77
Tweed Heads Mk4,4225,1712896200,2024-04-12T14:30:00,-28.17846,153.57722,1.71,2.54,11.76,6.09,24.08,110.24,0.16,162.29
Tweed Heads Mk4,4225,1712898000,2024-04-12T15:00:00,-28.17846,153.57718,1.72,2.64,12.5,6.28,24.08,107.52,0.14,151.82
Tweed Heads Mk4,4225,1712899800,2024-04-12T15:30:00,-28.17848,153.5771,1.8,2.69,12.5,6.28,24.08,107.08,0.12,159.65
Tweed Heads Mk4,4225,1712901600,2024-04-12T16:00:00,-28.17846,153.57712,1.72,2.85,13.33,6.28,24.08,98.73,0.16,150.07
Tweed Heads Mk4,4225,1712903400,2024-04-12T16:30:00,-28.17845,153.57716,1.55,2.74,12.5,5.93,24.08,102.33,0.14,164.31
Tweed Heads Mk4,4225,1712905200,2024-04-12T17:00:00,-28.17845,153.57716,1.74,3.26,11.76,6.01,24.08,106.9,0.14,162.02
Tweed Heads Mk4,4225,1712907000,2024-04-12T17:30:00,-28.17845,153.57708,1.7,2.97,11.76,5.94,24.04,102.95,0.13,183.12
Tweed Heads Mk4,4225,1712908800,2024-04-12T18:00:00,-28.17843,153.57708,1.59,2.85,11.76,5.77,23.99,112.71,0.04,144.62
Tweed Heads Mk4,4225,1712910600,2024-04-12T18:30:00,-28.17845,153.57705,1.66,2.7,11.76,6.1,23.99,115.61,0.1,164.75
Tweed Heads Mk4,4225,1712912400,2024-04-12T19:00:00,-28.17843,153.57692,1.64,2.96,11.11,5.99,23.99,115.61,0.1,201.93
Tweed Heads Mk4,4225,1712914200,2024-04-12T19:30:00,-28.17843,153.57682,1.71,2.8,11.11,6.19,24.04,114.64,0.12,175.65
Tweed Heads Mk4,4225,1712916000,2024-04-12T20:00:00,-28.17837,153.57667,1.66,2.88,11.11,6.23,24.04,113.06,0.06,177.32
Tweed Heads Mk4,4225,1712917800,2024-04-12T20:30:00,-28.17827,153.57656,1.69,2.48,12.5,6.41,23.99,109.45,0.1,190.95
Tweed Heads Mk4,4225,1712919600,2024-04-12T21:00:00,-28.1783,153.57662,1.71,2.68,12.5,6.82,23.99,106.82,0.11,171.6
Tweed Heads Mk4,4225,1712921400,2024-04-12T21:30:00,-28.17822,153.5766,1.69,2.47,11.76,6.81,23.95,111.3,0.06,170.64
Tweed Heads Mk4,4225,1712923200,2024-04-12T22:00:00,-28.17801,153.57654,1.44,2.52,12.5,6.34,23.85,118.68,0.05,140.4
Tweed Heads Mk4,4225,1712925000,2024-04-12T22:30:00,-28.17785,153.57654,1.52,2.53,12.5,6.57,23.85,113.67,0.01,162.64
Tweed Heads Mk4,4225,1712926800,2024-04-12T23:00:00,-28.17773,153.57658,1.47,2.3,12.5,6.71,23.9,107.43,0.02,312.79
Tweed Heads Mk4,4225,1712928600,2024-04-12T23:30:00,-28.17768,153.5766,1.42,2.13,11.11,6.63,23.9,117.1,0.05,328.09
Tweed Heads Mk4,4225,1712930400,2024-04-13T00:00:00,-28.17762,153.5766,1.41,2.67,11.76,7.1,23.9,114.29,0.03,256.44
Tweed Heads Mk4,4225,1712932200,2024-04-13T00:30:00,-28.17758,153.57662,1.5,2.3,11.76,7.07,23.9,114.99,0.08,314.02
Tweed Heads Mk4,4225,1712934000,2024-04-13T01:00:00,-28.17755,153.57667,1.46,2.16,11.76,6.97,23.85,114.2,0.08,314.29
Tweed Heads Mk4,4225,1712935800,2024-04-13T01:30:00,-28.17752,153.57667,1.4,2.2,11.76,6.98,23.9,113.94,0.1,318.59
Tweed Heads Mk4,4225,1712937600,2024-04-13T02:00:00,-28.17755,153.57665,1.32,2.54,11.11,6.82,23.85,111.65,0.07,306.11
Tweed Heads Mk4,4225,1712939400,2024-04-13T02:30:00,-28.17755,153.57662,1.33,2.31,10.53,6.86,23.85,103.12,0.07,263.3
Tweed Heads Mk4,4225,1712941200,2024-04-13T03:00:00,-28.17756,153.5766,1.3,2.89,11.11,6.88,23.9,114.11,0.07,278.68
Tweed Heads Mk4,4225,1712943000,2024-04-13T03:30:00,-28.17756,153.5766,1.38,2.05,10.53,6.84,23.9,111.48,0.05,282.81
Tweed Heads Mk4,4225,1712944800,2024-04-13T04:00:00,-28.17755,153.57658,1.37,2.14,11.11,6.9,23.85,109.89,0.07,277.63
Tweed Heads Mk4,4225,1712946600,2024-04-13T04:30:00,-28.17758,153.57658,1.32,2.18,11.11,6.98,23.85,101.89,0.05,274.99
Tweed Heads Mk4,4225,1712948400,2024-04-13T05:00:00,-28.1776,153.57658,1.35,2.14,11.76,6.7,23.85,112.79,0.06,262.07
Tweed Heads Mk4,4225,1712950200,2024-04-13T05:30:00,-28.17767,153.57654,1.27,2.23,11.76,6.42,23.85,105.85,0.09,274.64
Tweed Heads Mk4,4225,1712952000,2024-04-13T06:00:00,-28.17768,153.57649,1.31,2.25,10,6.45,23.85,109.28,0.08,214.42
Tweed Heads Mk4,4225,1712953800,2024-04-13T06:30:00,-28.17779,153.57649,1.27,1.93,11.11,6.41,23.85,104.79,0.07,208.35
Tweed Heads Mk4,4225,1712955600,2024-04-13T07:00:00,-28.17795,153.57649,1.33,2.43,8.7,6.51,23.85,101.45,0.07,176.53
Tweed Heads Mk4,4225,1712957400,2024-04-13T07:30:00,-28.17827,153.57671,1.29,1.78,10,6.36,23.72,108.05,0.14,154.64
Tweed Heads Mk4,4225,1712959200,2024-04-13T08:00:00,-28.17842,153.57731,1.37,2.2,11.76,6.55,23.72,109.37,0.21,110.07
Tweed Heads Mk4,4225,1712961000,2024-04-13T08:30:00,-28.17831,153.5774,1.33,2.21,11.76,6.44,23.72,103.39,0.19,101.01
Tweed Heads Mk4,4225,1712962800,2024-04-13T09:00:00,-28.17837,153.5774,1.37,1.95,10,6.2,23.81,101.1,0.18,104.35
Tweed Heads Mk4,4225,1712964600,2024-04-13T09:30:00,-28.1784,153.57733,1.35,2.21,9.52,6.43,23.95,108.75,0.12,120.35
Tweed Heads Mk4,4225,1712966400,2024-04-13T10:00:00,-28.17843,153.57725,1.33,1.9,11.76,6.39,23.99,111.04,0.13,119.65
Tweed Heads Mk4,4225,1712968200,2024-04-13T10:30:00,-28.17845,153.57722,1.31,2.18,9.52,6.36,24.08,102.33,0.1,133.36
Tweed Heads Mk4,4225,1712970000,2024-04-13T11:00:00,-28.17848,153.5772,1.28,2.43,10,6.41,24.31,116.4,0.13,157.8
Tweed Heads Mk4,4225,1712971800,2024-04-13T11:30:00,-28.1785,153.5772,1.46,2.51,9.52,6.61,24.68,116.84,0.24,163.96
Tweed Heads Mk4,4225,1712973600,2024-04-13T12:00:00,-28.1785,153.57722,1.34,2.3,12.5,6.44,24.82,111.12,0.2,162.81
Tweed Heads Mk4,4225,1712975400,2024-04-13T12:30:00,-28.17852,153.57727,1.49,2.27,10,6.68,25.56,118.68,0.38,150.33
Tweed Heads Mk4,4225,1712977200,2024-04-13T13:00:00,-28.17852,153.57731,1.36,2.08,11.76,6.53,25.66,108.75,0.51,141.36
Tweed Heads Mk4,4225,1712979000,2024-04-13T13:30:00,-28.1785,153.57733,1.39,2.37,11.11,6.43,25.94,121.94,0.49,144.35
Tweed Heads Mk4,4225,1712980800,2024-04-13T14:00:00,-28.17852,153.57735,1.41,2.36,9.52,6.37,26.03,123.43,0.48,141.36
Tweed Heads Mk4,4225,1712982600,2024-04-13T14:30:00,-28.17854,153.57733,1.4,2.38,9.09,6.11,25.99,118.42,0.54,137.41
Tweed Heads Mk4,4225,1712984400,2024-04-13T15:00:00,-28.17854,153.57735,1.38,2.46,12.5,6.3,25.99,101.63,0.54,132.22
Tweed Heads Mk4,4225,1712986200,2024-04-13T15:30:00,-28.17854,153.57731,1.49,2.31,11.76,6.44,25.84,100.93,0.53,133.54
Tweed Heads Mk4,4225,1712988000,2024-04-13T16:00:00,-28.17852,153.57733,1.41,2.48,11.76,6.29,24.45,108.57,0.53,121.23
Tweed Heads Mk4,4225,1712989800,2024-04-13T16:30:00,-28.17852,153.57731,1.48,2.36,11.11,6.59,24.36,110.51,0.36,134.07
Tweed Heads Mk4,4225,1712991600,2024-04-13T17:00:00,-28.17854,153.57731,1.36,2.61,11.76,6.15,24.22,108.93,0.38,133.36
Tweed Heads Mk4,4225,1712993400,2024-04-13T17:30:00,-28.17854,153.57731,1.58,2.36,13.33,6.97,24.08,105.15,0.35,124.48
Tweed Heads Mk4,4225,1712995200,2024-04-13T18:00:00,-28.17854,153.57729,1.5,2.46,10,6.6,23.99,113.85,0.34,148.84
Tweed Heads Mk4,4225,1712997000,2024-04-13T18:30:00,-28.17854,153.57731,1.47,2.13,12.5,6.74,23.95,110.24,0.35,140.75
Tweed Heads Mk4,4225,1712998800,2024-04-13T19:00:00,-28.17855,153.57731,1.58,2.58,12.5,6.94,23.85,111.74,0.35,146.55
Tweed Heads Mk4,4225,1713000600,2024-04-13T19:30:00,-28.17855,153.57727,1.55,2.47,11.76,6.64,24.27,113.67,0.34,157.98
Tweed Heads Mk4,4225,1713002400,2024-04-13T20:00:00,-28.17855,153.57727,1.49,2.18,12.5,6.31,24.17,118.95,0.32,155.78
Tweed Heads Mk4,4225,1713004200,2024-04-13T20:30:00,-28.17854,153.57725,1.46,2.79,9.09,6.39,23.85,121.5,0.24,165.8
Tweed Heads Mk4,4225,1713006000,2024-04-13T21:00:00,-28.17855,153.57725,1.47,2.55,11.76,6.27,24.68,116.31,0.34,156.66
Tweed Heads Mk4,4225,1713007800,2024-04-13T21:30:00,-28.17855,153.57727,1.61,2.38,11.76,6.58,24.73,121.76,0.42,150.07
Tweed Heads Mk4,4225,1713009600,2024-04-13T22:00:00,-28.17857,153.57729,1.52,2.24,11.76,6.44,25.38,116.4,0.53,150.86
Tweed Heads Mk4,4225,1713011400,2024-04-13T22:30:00,-28.17857,153.57731,1.52,2.54,11.76,6.41,25.47,112.18,0.51,148.04
Tweed Heads Mk4,4225,1713013200,2024-04-13T23:00:00,-28.17855,153.57735,1.48,2.51,11.76,6.36,25.47,109.1,0.54,145.23
Tweed Heads Mk4,4225,1713015000,2024-04-13T23:30:00,-28.17854,153.57737,1.38,2.1,11.76,6.29,25.61,107.69,0.47,143.12
Tweed Heads Mk4,4225,1713016800,2024-04-14T00:00:00,-28.17852,153.5774,1.44,2.27,11.76,6.45,25.61,106.99,0.48,141.45
Tweed Heads Mk4,4225,1713018600,2024-04-14T00:30:00,-28.1785,153.57742,1.5,2.53,12.5,6.67,25.66,114.82,0.44,142.68
Tweed Heads Mk4,4225,1713020400,2024-04-14T01:00:00,-28.1785,153.57742,1.61,2.62,11.76,6.98,25.61,114.99,0.47,140.22
Tweed Heads Mk4,4225,1713022200,2024-04-14T01:30:00,-28.17848,153.57742,1.56,2.9,11.11,6.84,25.66,119.65,0.46,136.88
Tweed Heads Mk4,4225,1713024000,2024-04-14T02:00:00,-28.17846,153.57744,1.53,2.6,11.76,6.81,25.66,113.67,0.38,137.14
Tweed Heads Mk4,4225,1713025800,2024-04-14T02:30:00,-28.17845,153.57744,1.44,2.37,11.76,6.78,25.7,115.08,0.41,131.78
